City Name,Northwest,Southeast,Notes
Albany,"43.081635, -74.109871","42.500157, -73.521416",
Anchorage,"61.234243, -150.066680","61.084366, -149.711684",
Aspen,"39.23698, -106.881","39.12698, -106.761",
Atlanta,"34.288545, -84.578823","33.566694, -83.964962",Low Priority
Austin,"30.72999, -98.411854","30.03999, -97.4414",Low Priority
Baltimore,"39.492441, -76.820355","39.252519, -76.559773",
Bay Area,"38.22053, -122.918","37.03553, -121.478",Low Priority
Bloomington IL,"40.688670, -89.192257","40.385482, -88.803615",
Boston,"42.57482, -71.524","42.10982, -70.759",Low Priority
Burlington VT,"44.676456, -73.358564","44.257976, -72.829846",
Cedar Rapids IA,"42.121705, -91.835332","41.624732, -91.364980",
Charleston,"32.96261, -80.0691","32.67761, -79.7091",Low Priority
Charlotte,"35.65117, -81.2208","34.85617, -80.5158",Low Priority
Charlottesville,"38.233473, -78.681519","37.901554, -78.235200",
Chicago,"42.38955, -88.4883","41.54955, -87.4233",Low Priority
Cincinnati,"39.486582, -84.875392","38.792412, -84.105097",
Columbus OH,"40.286974, -83.245067","39.735823, -82.601680",
Dallas,"33.636004, -97.0392","32.71689, -96.5142",Low Priority
Denver,"40.205687, -105.345997","39.3787, -104.673",Low Priority
Des Moines,"41.834849, -93.973439","41.335128, -93.331426",
Detroit,"42.948372, -84.163463","42.057441, -82.705028",
Fort Collins CO,"40.698289, -105.154950","40.273187, -104.602887",
Fort Worth,"33.244879, -97.5418","32.52371, -97.0318",Low Priority
Hartford CT,"41.922628, -72.908459","41.521857, -72.427807",
Houston,"30.32203, -96.075","29.37703, -95.01",Low Priority
Indianapolis,"40.100038, -86.545737","39.529369, -85.785620",
Jacksonville,"30.40627, -81.7605","29.891300, -81.278318",
Kansas City MO,"39.337801, -95.054324","38.765112, -94.132845",
Las Vegas,"36.34724, -115.365","35.91224, -114.735",Low Priority
Los Angeles,"34.36258, -119.321","33.34258, -116.846",Low Priority
"Madison, WI","43.271560, -89.599877","42.925110, -89.137765",
Midland TX,"32.475708, -102.820528","31.651745, -101.631258",
Milwaukee,"43.365717, -88.554071","42.813126, -87.824167",
Minneapolis,"45.24215, -93.7489","44.368428, -92.429438",Low Priority
Naples FL,"26.327896, -81.846783","26.081775, -81.650402",
Nashville,"36.3773, -87.0278","35.7773, -86.3678",
Newark,"40.973551, -74.472594","40.534550, -73.947997",
NYC,"40.85652, -74.0592","40.54152, -73.8192",Low Priority
Orlando,"28.809, -81.6446","28.344, -81.1196",Low Priority
Philadelphia,"40.285877, -75.792753","39.550778, -74.686934",
Phoenix,"34.01077, -112.732","33.08077, -111.337",Low Priority
Port St. Lucie FL,"27.366522, -80.469032","26.965774, -80.060478",
Portland OR,"45.786341, -123.016923","45.255214, -122.291825",
Raleigh,"36.139921, -79.187974","35.563339, -78.374299",
Reno,"39.725572, -119.999542","39.362338, -119.605407",
Richmond,"37.828606, -77.864353","37.282631, -77.097370",
Rochester MN,"44.198912, -92.680044","43.846382, -92.313375",
Sacramento,"38.88882, -121.841","37.943435, -120.941",Low Priority
Salt Lake City,"41.35658, -112.344","39.78158, -111.204",Low Priority
San Diego,"33.28, -117.459","32.56, -116.664",Low Priority
Santa Barbara,"34.48835, -119.923","34.38335, -119.533",Low Priority
Santa Fe,"35.971027, -106.400212","35.413364, -105.830983",
Sarasota FL,"27.513538, -82.705300","27.102929, -82.258294",
Seattle,"48.323494, -123.160908","46.751264, -121.565144",Low Priority
Springfield IL,"39.981786, -89.835363","39.613553, -89.515386",
St. Louis,"38.918647, -90.958659","38.381325, -90.130565",
Stamford,"41.271586, -73.961168","40.894802, -73.191438",
Tampa,"28.3622, -82.7802","27.6272, -82.0602",Low Priority
Trenton,"40.519211, -75.111758","40.127109, -73.963898",
Washington DC,"39.25068, -78.274795","38.67068, -76.6775",Low Priority
West Palm Beach,"27.01286, -80.44","25.87286, -80.02",Low Priority
Pittsburgh,"40.771716, -80.399527","40.215076, -79.449896",
Greensboro,"36.258616, -80.449263","35.855611, -79.668547",
