name,tuition,grades,address,religion,state,scraped_at
Deeper Life Academy,1850.0,PK-12,"2800 19th St N
Bessemer, AL 35023
(205) 491-9100",Pentecostal,Alabama,2025-02-13T17:24:42.509383
Prichard Preparatory School,2150.0,PK-5,"743 Mt. Sinai Avenue
Mobile, AL 36612
(251) 380-7220",,Alabama,2025-02-13T17:24:42.509383
Atmore Christian School,2500.0,PK-12,"245 Tennant Drive
Atmore, AL 36502
(251) 368-5499",Mennonite,Alabama,2025-02-13T17:24:42.509887
St. Mary Catholic School,2900.0,PK-8,"107 N Lafayette St
Mobile, AL 36604
(251) 433-9904",Catholic,Alabama,2025-02-13T17:24:42.509887
St. Pius X School,2930.0,PK-8,"217 S Sage Avenue
Mobile, AL 36606
(251) 533-9476",Catholic,Alabama,2025-02-13T17:24:42.509887
Janice Mitchell Isbell Academy Inc,3000.0,6-8,"17811 Seven Mile Post Rd
Athens, AL 35611
(256) 694-9451",Christian,Alabama,2025-02-13T17:24:42.509887
Sumiton Christian School,3000.0,PK-12,"155 Hosanna Dr
Sumiton, AL 35148
(205) 648-6643",Church of God,Alabama,2025-02-13T17:24:42.509887
Gardendale Christian Academy,3200.0,PK-5,"1800 Decatur Highway
Gardendale, AL 35071
(205) 631-9465",Church of the Nazarene,Alabama,2025-02-13T17:24:42.509887
Wiregrass Christian Academy,3485.0,PK-6,"209 West College Street
Enterprise, AL 36330
(334) 393-8972",Church of Christ,Alabama,2025-02-13T17:24:42.509887
Bethel Baptist School,3500.0,PK-1,"1301 Bethel Rd
Hartselle, AL 35640
(256) 773-2154",Baptist,Alabama,2025-02-13T17:24:42.509887
Glen Iris Baptist School,3500.0,PK-12,"1137 10th Pl S
Birmingham, AL 35205
(205) 323-1516",Baptist,Alabama,2025-02-13T17:24:42.509887
Marshall Christian School,3500.0,PK-12,"1631 Brashers Chapel Rd
Albertville, AL 35951
(256) 279-0192",Christian,Alabama,2025-02-13T17:24:42.510888
Enterprise Christian Academy And Little Warriors Preschool,3900.0,PK-12,"1507 E Park Ave
Enterprise, AL 36330
(334) 417-1161",Christian,Alabama,2025-02-13T17:24:42.510888
Marion Academy,3988.0,PK-12,"1820 Prier Dr
Marion, AL 36756
(334) 683-8204",Christian,Alabama,2025-02-13T17:24:42.510888
Ascension Leadership Academy Presbyterian Home,4000.0,2-12,"905 Ashland Hwy
Talladega, AL 35160
(256) 362-4314",Presbyterian,Alabama,2025-02-13T17:24:42.510888
Pike Liberal Arts School,4114.0,PK-12,"Highway 231 S
Troy, AL 36081
(334) 566-2023",,Alabama,2025-02-13T17:24:42.510888
St. Barnabas Regional School,4305.0,PK-8,"7901 1st Ave N
Birmingham, AL 35206
(205) 836-5385",Catholic,Alabama,2025-02-13T17:24:42.510888
Islamic Academy Of Huntsville,4500.0,PK-5,"1645 Sparkman Dr Nw
Huntsville, AL 35816
(256) 722-9838",Islamic,Alabama,2025-02-13T17:24:42.510888
Snook Christian Academy,4500.0,PK-12,"18930 County Road 28
Foley, AL 36535
(251) 989-2333",Church of Christ,Alabama,2025-02-13T17:24:42.510888
Legacy Christian Academy,4550.0,PK-10,"510 JC Mauldin Highway
Killen, AL 35645
(256) 757-5345",,Alabama,2025-02-13T17:24:42.510888
Victory Christian Academy,4560.0,1-12,"3151 Hwy 14
Millbrook, AL 36054
(334) 285-0211",Baptist,Alabama,2025-02-13T17:24:42.511903
Covenant Christian School,4630.0,PK-6,"105 S George Wallace Dr
Troy, AL 36081
(334) 566-0817",Presbyterian,Alabama,2025-02-13T17:24:42.511903
Faith Academy,4980.0,PK-12,"8650 Tanner Williams Rd
Mobile, AL 36608
(251) 633-7267",Christian,Alabama,2025-02-13T17:24:42.511903
Marietta Johnson School Of Organic Education,5000.0,PK-8,"8 Marietta Drive
Fairhope, AL 36532
(251) 928-9347",,Alabama,2025-02-13T17:24:42.511903
Jefferson Christian Academy,5090.0,PK-12,"1500 Heritage Place Drive
Birmingham, AL 35210
(205) 956-9111",Church of Christ,Alabama,2025-02-13T17:24:42.511903
Our Lady Of The Valley School,5100.0,PK-8,"5510 Double Oak Lane
Birmingham, AL 35242
(205) 991-5963",Catholic,Alabama,2025-02-13T17:24:42.511903
Prince Of Peace Catholic School,5139.0,PK-8,"4650 Preserve Pkwy
Birmingham, AL 35226
(205) 824-7886",Catholic,Alabama,2025-02-13T17:24:42.511903
Cottage Hill Christian Academy,5390.0,NS-12,"4255 Cottage Hill Road
Mobile, AL 36609
(251) 660-2427",Baptist,Alabama,2025-02-13T17:24:42.511903
Valley Fellowship Christian Academy,5500.0,PK-12,"3616 Holmes Ave Nw
Huntsville, AL 35816
(256) 533-5248",,Alabama,2025-02-13T17:24:42.511903
